summary
dispor sobre denominação josé antonio pascoto via público
dispor sobre denominação vitor hage via público dar outro providência
dispor sobre denominação lisardo cunha dia via público dar outro providência
dispor sobre denominação desirre ferraz cardoso via público cidade dar outro providência
instituir calendário oficial município dia sociólogo dar outro providência
alterar redação artigo # # # # lei municipal nº # token_data dar outro providência
instituir patrimônio cultural imaterial cidade sorocaba orquestra sinfônico sorocaba oss dar outro providência
instituir inserir calendário oficial município sorocaba semana municipal dia # abril semana municipal conscientização doença parkinson denominar tulipa vermelho
estabelecer estrutura funcionamento conselho tutelar sorocaba dar outro providência
instituir plataforma cur canal unificar remédio âmbito município sorocaba dar outro providência
dispor sobre obrigatoriedade empresa concessionária fornecer energia elétrico município sorocaba realizar manutenção limpeza área qual deter torre distribuição energia instalar dar outro providência
declarar utilidade público casa cattanir instituto brasileiro assistência apoio humanização desenvolvimento social dar outro providência
instituir patrimônio cultural material cidade sorocaba mosteiro bento sorocaba igreja sant anna dar outro providência
ficar instituir calendário oficial município sorocaba dia valorização prática vacinação celebrar anualmente # outubro
dispor sobre emplacamento rua organização numeração imóvel município sorocaba dar outro providência
declarar utilidade público associação atlético juventude dar outro providência
alterar redação artigo # lei municipal nº # token_data dispor sobre norma execução serviço transporte escolar gratuito aluno matricular rede municipal ensino sorocaba
instituir programa regularização fiscal município refis dar outro providência
dispor sobre programa serviço fisioterapia domiciliar assister unidade móvel devidamente equipar
dispor sobre normatização fornecimento cesta básico alimento servidor inativo pensionista dar outro providência
ficar instituir calendário oficial município sorocaba dia combate prevenção câncer infantojuvenil celebrar anualmente # fevereiro
alterar lei nº # token_data reconhecer âmbito município sorocaba cordão girassol instrumento auxiliar orientação identificação pessoa deficiência visível
dispor sobre instituição área especial interesse social habitação ael área público remanescente denominar i-d planta desdobro elaborar prefeitura municipal sorocaba situar avenida itavuvu localizar perímetro urbano de este cidade conforme descrição constante matrícula nº # registrar nº # oficial registro imóvel sorocaba promoção lote social dar outro providência
instituir âmbito município sorocaba programa melhoria habitacional reforma moradia inserir zona área especial interesse social ael / zel dar outro providência
autorizar poder executivo instituir programa terreno sorocaba meio doar lote área público dar outro providência
alterar dispositivo lei nº # token_data estabelecer diretriz incentivo fiscal desenvolvimento econômico município dar outro providência
dispor sobre alteração denominação escola municipal localizar rua cervante # vila assis escola municipal sorocaba leste escola municipal professor wanderlei acca
dispor sobre denominação raimundo conceição oliveira claro via cidade dar outro providência
dispor sobre denominação benedito pereira gomes via público cidade dar outro providência
dispor sobre denominação jordão vieira pinto filho via cidade dar outro providência
declarar utilidade público associação arte marcial okinawa karatê dar outro providência
instituir calendário oficial evento município sorocaba semana municipal conscientização transtorno alimentar dar outro providência
alterar redação inciso ii artigo # lei nº # token_data dispor sobre qualificação entidade organização social dar outro providência
alterar artigo # lei nº # token_data dispor sobre funcionamento cemitério município sorocaba dar outro providência
alterar redação artigo # lei nº # token_data tratar remuneração mensal conselheiro tutelar município sorocaba
incluir artigo # -a lei nº # token_data dispor sobre organização sistema municipal defesa consumidor smdc instituir conselho municipal proteção defesa consumidor comdecon fundo municipal proteção defesa consumidor fmdc criar superintendência serviço municipal proteção consumidor revogar expressamente lei nº # token_data dar outro providência
declarar utilidade público organização governamental instituto kayton ação dar outro providência
dispor sobre denominação maria malta pereira ferreira via público cidade dar outro providência
dispor sobre denominação antonio moreira sobrinho via cidade dar outro providência
dispor sobre denominação praça padre pio praça cidade localizar bairro campolim
dispor sobre revogação lei nº # token_data dar outro providência
instituir dia nascituro calendário oficial município sorocaba
dispor sobre instituição área especial interesse social habitação ael promoção habitação social baixo custo urbanização recuperação ambiental área público dominial localizar jardim eliana constante matrícula nº # nº # nº # # oficial registro imóvel sorocaba dar outro providência
dispor sobre denominação maria aparecer clerice cardoso via cidade dar outro providência
autorizar concessão incentivo fiscal empresa economia criativo enquadrar startup empresa inovação instalar município sorocaba dar outro providência
alterar lei municipal nº # token_data dar outro providência
instituir âmbito município sorocaba festival anime fe riends dar outro providência
dispor sobre denominação antonio migliorini via público
dispor sobre denominação julieta rosa ramos rua reserva ipanema # jd r/ # jardim reserva ipanema # dar outro providência
dispor sobre denominação joaquim cardoso via cidade dar outro providência
dispor sobre denominação milton festa junior via cidade dar outro providência
dispor sobre denominação antonio rodrigues filho lilo farmácia rodrigues via cidade dar outro providência
dispor sobre denominação maria luzinete silva garcia próprio público dar outro providência
autorizar município sorocaba reparar dano patrimonial causar alagamento inundação
dispor sobre instituição zona especial interesse social zel urbanização reordenamento aglomerado subnormal salubridade habitacional fomento fundo municipal habitação interesse social fmhis dar outro providência
instituir patrimônio cultural imaterial cidade sorocaba espetáculo paixão cristo encenar anualmente município sorocaba dar outro providência
